moeCode,schoolName,website,schoolAddress,sourceTitle,sourceUrl,sourceDate,confidence,notes
4111013630,北京工商大学嘉华学院,http://www.canvard.net.cn/,北京市通州区宋庄南路甲1号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111013901,北京邮电大学世纪学院,http://www.ccbupt.cn/,北京市延庆区康庄镇西官路,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111013904,北京工业大学耿丹学院,http://www.gengdan.cn/,北京市顺义区牛栏山镇牛富路3号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111014019,北京警察学院,http://www.bjpc.edu.cn/,北京市昌平区南口镇南涧路11号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111014201,北京第二外国语学院中瑞酒店管理学院,http://www.bhi.edu.cn,北京市大兴区庞各庄镇工业区田园路11号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111014430,中国科学院大学,https://www.ucas.ac.cn/,"玉泉路校区：北京市玉泉路19号,雁栖湖校区：北京市怀柔区雁栖湖东路1号",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111014596,中国社会科学院大学,https://www.ucass.edu.cn/,北京市房山区长于大街11号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010853,北京工业职业技术学院,http://www.bgy.edu.cn,北京市石景山区石门路368号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010857,北京信息职业技术学院,http://www.bitc.edu.cn,"校本部：北京市朝阳区芳园西路5号,东校区：北京市朝阳区东坝红松园北里甲1号",DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
4111010858,北京电子科技职业学院,https://www.bpi.edu.cn/,北京市大兴区凉水河一街9号,DaoSword China-Education-Data 高等教育宽表,https://github.com/DaoSword/China-Education-Data,2026-04-21,medium,GitHub 补充源；链接本身为学校官网域名，建议后续优先以教育部门或学校官网目录复核。
