moeCode,schoolName,campusName,campusAddress,province,city,district,lat,lng,undergraduateScope,freshmanOnly,mainCampusType,nearestMetroStation,metroDistanceKm,sourceTitle,sourceUrl,sourceDate,confidence,notes
4122013602,长春电子科技学院,主校区,吉林省长春市宽城区学理路333号,吉林,长春,长春市宽城区,43.99894,125.145325,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122013603,长春财经学院,主校区,吉林省长春市净月国家高新技术产业开发区擎天树街58号,吉林,长春,高新技术产业开发区,43.785935,125.40745,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122013604,吉林建筑科技学院,主校区,吉林省长春市宽城区学建大路1111号,吉林,长春,长春市宽城区,43.873724,125.361634,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122013605,长春建筑学院,主校区,吉林省长春市双阳区奢岭高校园区（长清公路14公里处）,吉林,长春,长春市双阳区,43.815105,125.272691,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122013606,长春科技学院,主校区,吉林省长春市双阳区东华大街1699号,吉林,长春,双阳区,43.532836,125.661337,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.38 km。
4122013607,吉林动画学院,主校区,吉林省长春市高新区博识路168号,吉林,长春,长春市高新区,43.873724,125.361634,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122013622,吉林师范大学博达学院,主校区,吉林省四平市铁西区东丰路西1999号,吉林,四平,四平市铁西区,43.155281,124.33447,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122013623,长春大学旅游学院,主校区,吉林省长春市双阳区奢岭高校文化园区,吉林,长春,双阳区,43.68781,125.514358,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.41 km。
4122013662,长春人文学院,主校区,吉林省长春市净月国家高新技术产业开发区博硕路1488号,吉林,长春,高新技术产业开发区,43.820048,125.40332,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data,https://github.com/Naptie/cn-university-geocoder,2026-04-21,medium,辅源：https://github.com/jtchen2k/hcu、https://daxue.cgsop.com/ 可用于后续人工校验校区沿革与本科去向。
4122013706,吉林医药学院,主校区,吉林省吉林市吉林大街5号,吉林,吉林,丰满区,43.801613,126.558439,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.33 km。
4122013743,白城医学高等专科学校,主校区,吉林省白城市洮北区棉纺路27号,吉林,白城,洮北区,45.607091,122.795507,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.30 km。
4122013916,长春信息技术职业学院,主校区,吉林省长春市高新区卓越大街881号,吉林,长春,双阳区,43.541085,125.658382,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 1.39 km。
4122013917,松原职业技术学院,主校区,吉林省松原市宁江区中山大街820号,吉林,松原,宁江区,45.202402,124.800022,unknown,unknown,,,,Naptie cn-university-geocoder + DaoSword China-Education-Data + ZsTs119/pg7go Baidu POI 数据集,https://github.com/Naptie/cn-university-geocoder,2026-04-21,high,百度 POI 精确匹配，坐标偏差约 5.81 km。
