schoolName,sourceTitle,sourceUrl,sourceDate,notes
国防科学技术大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
中山大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
暨南大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
华南理工大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
华南师范大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
广西大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
海南大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
四川大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
西南交通大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
电子科技大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
四川农业大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
西南财经大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
重庆大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
西南大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
贵州大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
云南大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
西藏大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
西北大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
西安交通大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
西北工业大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
西安电子科技大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
长安大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
西北农林科技大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
陕西师范大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
第四军医大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
兰州大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
青海大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
宁夏大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
新疆大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
石河子大学,“211工程”学校名单 - 教育部,http://www.moe.gov.cn/srcsite/A22/s7065/200512/t20051223_82762.html,2026-04-21,原始來源為教育部“211工程”學校名單頁面，僅保留機器能可靠識別的學校名稱。
